CRAFTABLE PLANS LIST	Y/N	QUALITY	TYPE	STATION	CATEGORY	STYLE	RELEASE	NOTES
High Isle Lantern, Table		Superior	Diagram	Blacksmithing	Lighting	High Isle	High Isle	
High Isle Mirror, Standing		Epic	Diagram	Blacksmithing	Suite	High Isle	High Isle	
High Isle Mussel, Steamed Pile		Superior	Design	Provisioning	Hearth	High Isle	High Isle	
High Isle Nightstand, Ornate		Superior	Blueprint	Woodworking	Suite	High Isle	High Isle	
High Isle Pillar, Ornate		Superior	Blueprint	Woodworking	Courtyard	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Plate, Compass Rose Setting		Superior	Blueprint	Woodworking	Hearth	High Isle	High Isle	
High Isle Platform, Tilework		Superior	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Platform, Wooden Rectangle		Fine	Blueprint	Woodworking	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Platform, Wooden Square		Superior	Blueprint	Woodworking	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Railing, Carved		Superior	Blueprint	Woodworking	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Railing Post, Carved		Superior	Blueprint	Woodworking	Courtyard	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Rug, Octagonal		Fine	Pattern	Clothing	Parlor	High Isle	High Isle	
High Isle Sconce, Glass		Superior	Diagram	Blacksmithing	Lighting	High Isle	High Isle	
High Isle Sconce, Ornate		Epic	Diagram	Blacksmithing	Lighting	High Isle	High Isle	
High Isle Serving Platter, Silver		Epic	Diagram	Blacksmithing	Hearth	High Isle	High Isle	
High Isle Stairway, Large Castle		Superior	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Stairway, Tilework		Epic	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Stool, Cushioned		Epic	Blueprint	Woodworking	Workshop	High Isle	High Isle	
High Isle Stool, Rustic		Fine	Blueprint	Woodworking	Workshop	High Isle	High Isle	
High Isle Stool, Sturdy		Superior	Blueprint	Woodworking	Workshop	High Isle	High Isle	
High Isle Streetlight, Paired		Superior	Blueprint	Woodworking	Lighting	High Isle	High Isle	
High Isle Table, Compass Rose		Epic	Blueprint	Woodworking	Dining	High Isle	High Isle	
High Isle Table, Ornate		Superior	Blueprint	Woodworking	Dining	High Isle	High Isle	
High Isle Table, Rustic		Fine	Blueprint	Woodworking	Dining	High Isle	High Isle	
High Isle Table, Sturdy		Superior	Blueprint	Woodworking	Dining	High Isle	High Isle	
High Isle Tapestry, Seaside Tourney		Legendary	Pattern	Clothing	Parlor	High Isle	Lost Depths	Master Writ Furnishing
High Isle Tea Table, Round Wheel		Epic	Blueprint	Woodworking	Parlor	High Isle	High Isle	
High Isle Trunk, Ornate		Epic	Blueprint	Woodworking	Suite	High Isle	High Isle	
High Isle Trunk, Sturdy		Superior	Blueprint	Woodworking	Suite	High Isle	High Isle	
High Isle Turret, Conical Castle		Epic	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Walkway, Balcony		Superior	Blueprint	Woodworking	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Walkway, Curved Castle		Superior	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Walkway, Straight Castle		Superior	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Wall Mirror, Gilded		Epic	Sketch	Jewelry	Suite	High Isle	High Isle	
High Isle Wall, Half-Timber		Fine	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Wall, Thin Castle		Fine	Praxis	Enchanting	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
High Isle Wardrobe, Compass Rose		Epic	Blueprint	Woodworking	Suite	High Isle	High Isle	
High Isle Wardrobe, Rustic		Fine	Blueprint	Woodworking	Suite	High Isle	High Isle	
High Isle Window, Turquoise		Superior	Formula	Alchemy	Structures	High Isle	Lost Depths	Drops From High Isle Dailies
Hlaalu Amphora, Sealed Orichalcum		Epic	Praxis	Enchanting	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Armchair, Mossy Cushion		Epic	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Armchair, Polished		Epic	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Banner, Floral		Superior	Pattern	Clothing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Bath Tub, Masterwork		Legendary	Praxis	Enchanting	Undercroft	Hlaalu	Morrowind / Clockwork	Master Writ Furnishing
Hlaalu Bed, Canopy		Epic	Pattern	Clothing	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Bed, Double Pillow		Superior	Pattern	Clothing	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Bed, Single		Fine	Pattern	Clothing	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Bed, Single Pillow		Superior	Pattern	Clothing	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Bench, Mossy Cushion		Epic	Pattern	Clothing	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Bench, Polished		Superior	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Bookcase, Empty		Superior	Blueprint	Woodworking	Library	Hlaalu	Morrowind / Clockwork	
Hlaalu Bookcase, Orderly		Epic	Blueprint	Woodworking	Library	Hlaalu	Morrowind / Clockwork	
Hlaalu Box, Trinket		Epic	Blueprint	Woodworking	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Boxes, Compact		Superior	Diagram	Blacksmithing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Cabinet of Drawers, Clerk		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Cabinet, Clerk		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Cabinet, Open		Superior	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Cannister, Sealed Azurite		Epic	Praxis	Enchanting	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Cannister, Trinket		Epic	Diagram	Blacksmithing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Carpet, Garden Moss		Superior	Pattern	Clothing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Censer, Mesh		Epic	Praxis	Enchanting	Undercroft	Hlaalu	Morrowind / Clockwork	
Hlaalu Chair, Polished		Superior	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Chest, Secure		Epic	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Cupboard, Formal		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Cupboard, Open		Superior	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Desk, Scholar's		Epic	Blueprint	Woodworking	Library	Hlaalu	Morrowind / Clockwork	
Hlaalu Dresser, Open		Superior	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Dresser, Scroll Drawers		Superior	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Dresser, Scroll Rack		Superior	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu End Table, Formal Scales		Epic	Blueprint	Woodworking	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu End Table, Formal Turtle		Epic	Blueprint	Woodworking	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Footlocker, Secure		Epic	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Gaming Table, “Foxes & Felines”		Legendary	Blueprint	Woodworking	Parlor	Hlaalu	Dragon Bones	Master Writ Furnishing
Hlaalu Gong		Legendary	Diagram	Blacksmithing	Parlor	Hlaalu	Dragon Bones	Master Writ Furnishing
Hlaalu Hanger, Mounted		Fine	Blueprint	Woodworking	Miscellaneous	Hlaalu	Morrowind / Clockwork	
Hlaalu Jar, Garden Moss		Superior	Praxis	Enchanting	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Jar, Sealed Malachite		Epic	Praxis	Enchanting	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Lantern, Classic Vellum		Epic	Formula	Alchemy	Lighting	Hlaalu	Morrowind / Clockwork	
Hlaalu Lantern, Modest Vellum		Epic	Formula	Alchemy	Lighting	Hlaalu	Morrowind / Clockwork	
Hlaalu Lantern, Oversized Vellum		Epic	Formula	Alchemy	Lighting	Hlaalu	Morrowind / Clockwork	
Hlaalu Mat, Welcoming		Fine	Pattern	Clothing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Mirror, Standing		Epic	Formula	Alchemy	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Nightstand, Formal		Epic	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Nightstand, Scholar's		Epic	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Hlaalu Rack, Barrel		Fine	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Salt Lamp, Enchanted		Legendary	Praxis	Enchanting	Lighting	Hlaalu	Elsweyr	Master Writ Furnishing
Hlaalu Sconce, Vellum		Epic	Diagram	Blacksmithing	Lighting	Hlaalu	Morrowind / Clockwork	
Hlaalu Settee, Mossy Cushion		Epic	Pattern	Clothing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Settee, Polished		Superior	Blueprint	Woodworking	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Shelf, Long		Superior	Blueprint	Woodworking	Library	Hlaalu	Morrowind / Clockwork	
Hlaalu Sideboard, Low Cabinet		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Sideboard, Scholar's		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Sideboard, Scribe's		Epic	Blueprint	Woodworking	Hearth	Hlaalu	Morrowind / Clockwork	
Hlaalu Stool, Mossy Cushion		Epic	Pattern	Clothing	Workshop	Hlaalu	Morrowind / Clockwork	
Hlaalu Stool, Polished		Fine	Blueprint	Woodworking	Workshop	Hlaalu	Morrowind / Clockwork	
Hlaalu Stove, Chiminea		Legendary	Diagram	Blacksmithing	Lighting	Hlaalu	Elsweyr	Master Writ Furnishing
Hlaalu Streetlight, Vellum		Epic	Formula	Alchemy	Lighting	Hlaalu	Morrowind / Clockwork	
Hlaalu Table, Formal Floral		Epic	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Table, Formal Turtle		Epic	Blueprint	Woodworking	Dining	Hlaalu	Morrowind / Clockwork	
Hlaalu Tapestry, Floral		Superior	Pattern	Clothing	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Towels, Folded		Superior	Pattern	Clothing	Miscellaneous	Hlaalu	Morrowind / Clockwork	
Hlaalu Trinket Box, Curious Turtle		Legendary	Praxis	Enchanting	Parlor	Hlaalu	Dragon Bones	Master Writ Furnishing
Hlaalu Vase, Gilded		Epic	Praxis	Enchanting	Parlor	Hlaalu	Morrowind / Clockwork	
Hlaalu Wardrobe, Formal		Epic	Blueprint	Woodworking	Suite	Hlaalu	Morrowind / Clockwork	
Horn, Ritual		Epic	Blueprint	Woodworking	Parlor	Miscellaneous	Homestead	
Hourglass, Common		Epic	Diagram	Blacksmithing	Parlor	Miscellaneous	Homestead	
Indoril Banner, Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Banner, Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Banner, Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Bellows, Practical		Superior	Diagram	Blacksmithing	Miscellaneous	Indoril	Morrowind / Clockwork	
Indoril Box, Trinket		Epic	Diagram	Blacksmithing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Brazier, Cauldron		Epic	Diagram	Blacksmithing	Lighting	Indoril	Morrowind / Clockwork	
Indoril Brazier, Kettle		Epic	Diagram	Blacksmithing	Lighting	Indoril	Morrowind / Clockwork	
Indoril Brazier, Knotwork		Superior	Diagram	Blacksmithing	Lighting	Indoril	Morrowind / Clockwork	
Indoril Brazier, Pedestal		Epic	Diagram	Blacksmithing	Lighting	Indoril	Morrowind / Clockwork	
Indoril Candelabra, Shrine		Superior	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Candelabra, Shrine Chamber		Epic	Design	Provisioning	Lighting	Indoril	Morrowind / Clockwork	
Indoril Candelabra, Temple		Epic	Design	Provisioning	Lighting	Indoril	Morrowind / Clockwork	
Indoril Candelabra, Temple Chamber		Epic	Design	Provisioning	Lighting	Indoril	Morrowind / Clockwork	
Indoril Candle, Temple		Epic	Design	Provisioning	Lighting	Indoril	Morrowind / Clockwork	
Indoril Cannister, Trinket		Epic	Diagram	Blacksmithing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Grand Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Grand Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Grand Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Carpet, Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Cassone, Sealed		Epic	Diagram	Blacksmithing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Chandelier, Knotwork		Superior	Diagram	Blacksmithing	Lighting	Indoril	Morrowind / Clockwork	
Indoril Chest, Fortified		Superior	Diagram	Blacksmithing	Suite	Indoril	Morrowind / Clockwork	
Indoril End Table, Rounded		Superior	Blueprint	Woodworking	Parlor	Indoril	Morrowind / Clockwork	
Indoril Footlocker, Fortified		Superior	Diagram	Blacksmithing	Suite	Indoril	Morrowind / Clockwork	
Indoril Incense Cup, Silver		Superior	Praxis	Enchanting	Undercroft	Indoril	Morrowind / Clockwork	
Indoril Lantern, Hanging		Superior	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Lightpost, Stone		Fine	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Platter, Floral		Epic	Diagram	Blacksmithing	Hearth	Indoril	Morrowind / Clockwork	
Indoril Rug, Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Rug, Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Rug, Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Runner, Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Runner, Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Runner, Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Sconce, Shrine		Epic	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Sconce, Temple		Epic	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Shelf, Block		Fine	Formula	Alchemy	Library	Indoril	Morrowind / Clockwork	
Indoril Shelf, Long		Superior	Blueprint	Woodworking	Library	Indoril	Morrowind / Clockwork	
Indoril Streetlight, Brick		Superior	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Streetlight, Full Stone		Fine	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Streetlight, Stone		Fine	Formula	Alchemy	Lighting	Indoril	Morrowind / Clockwork	
Indoril Tapestry, Almalexia		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Tapestry, Sotha Sil		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Tapestry, Vivec		Epic	Pattern	Clothing	Parlor	Indoril	Morrowind / Clockwork	
Indoril Vault, Sealed		Epic	Diagram	Blacksmithing	Suite	Indoril	Morrowind / Clockwork	
Jester's Pavilion, Open		Epic	Pattern	Clothing	Structures	Jester's	Homestead	
Keg		Superior	Blueprint	Woodworking	Hearth	Miscellaneous	Homestead	
Kennel, Locked		Superior	Diagram	Blacksmithing	Undercroft	Miscellaneous	Homestead	
Khajiit Banner, Claw		Fine	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Banner, Crescents		Fine	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Banner, Hooked		Superior	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Banner, Moons		Fine	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Barstool, Clawfoot		Superior	Diagram	Blacksmithing	Workshop	Khajiit	Homestead	
Khajiit Barstool, Padded		Superior	Blueprint	Woodworking	Workshop	Khajiit	Homestead	
Khajiit Basin, Claw		Superior	Diagram	Blacksmithing	Undercroft	Khajiit	Homestead	
Khajiit Bed, Canopy		Epic	Blueprint	Woodworking	Suite	Khajiit	Homestead	
Khajiit Bed, Faded		Superior	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Bed, Fur		Fine	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Bedding, Padded		Fine	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Bench, Padded		Superior	Pattern	Clothing	Dining	Khajiit	Homestead	
Khajiit Bookcase, Arched		Epic	Blueprint	Woodworking	Library	Khajiit	Homestead	
Khajiit Bookshelf, Arched		Superior	Blueprint	Woodworking	Library	Khajiit	Homestead	
Khajiit Bottle, Amber		Fine	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Brazier, Claw		Superior	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Brazier, Enchanted		Epic	Praxis	Enchanting	Services	Khajiit	Homestead	Elsweyr Prologue Daily Quest Reward (Grahtwood)
Khajiit Brazier, Hanging		Epic	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Candle-Filled Lamp		Epic	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Candle, Clawfoot		Superior	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Candles, Clawfoot		Epic	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Carafe, Amber		Superior	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Carpet, Crescent Moons		Fine	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Carpet, Sun		Superior	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Couch, Padded		Epic	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Counter, Faded		Epic	Blueprint	Woodworking	Dining	Khajiit	Homestead	
Khajiit Counter, Long Cabinet		Superior	Blueprint	Woodworking	Dining	Khajiit	Homestead	
Khajiit Curtains, Moons		Superior	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Cushion, Long		Superior	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Cushion, Single		Superior	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Decanter, Amber		Superior	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Desk, Faded		Fine	Blueprint	Woodworking	Library	Khajiit	Homestead	
Khajiit Divider, Folding		Epic	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Drapes, Grand		Epic	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Drapes, Tattered		Fine	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Dresser, Faded		Fine	Blueprint	Woodworking	Library	Khajiit	Homestead	
Khajiit End Table, Faded		Fine	Blueprint	Woodworking	Parlor	Khajiit	Homestead	
Khajiit Firepit, Brick		Fine	Praxis	Enchanting	Lighting	Khajiit	Homestead	
Khajiit Flask, Amber		Fine	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Footlocker, Arched		Epic	Diagram	Blacksmithing	Suite	Khajiit	Homestead	
Khajiit Frame, Arched		Fine	Blueprint	Woodworking	Courtyard	Khajiit	Homestead	
Khajiit Jug, Amber		Superior	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Lantern, Hanging		Superior	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Loft, Reed		Fine	Pattern	Clothing	Structures	Khajiit	Homestead	
Khajiit Nightstand, Gilded		Superior	Blueprint	Woodworking	Suite	Khajiit	Homestead	
Khajiit Pillow, Crescents		Epic	Pattern	Clothing	Suite	Khajiit	Homestead	
Khajiit Pillow, Roll		Epic	Pattern	Clothing	Suite	Khajiit	Homestead	Elsweyr Prologue Daily Quest Reward (Grahtwood)
Khajiit Pitcher, Amber		Superior	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Rug, Moons		Epic	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Rug, Sun		Epic	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Sconce, Spiked		Epic	Diagram	Blacksmithing	Lighting	Khajiit	Homestead	
Khajiit Sigil, Moon Cycle		Legendary	Praxis	Enchanting	Undercroft	Khajiit	Harrowstorm	Master Writ Furnishing
Khajiit Signpost, Fortified		Fine	Blueprint	Woodworking	Courtyard	Khajiit	Homestead	
Khajiit Skooma Bubbler		Epic	Design	Provisioning	Parlor	Khajiit	Homestead	Pickpocket Drunks
Khajiit Sofa, Padded		Epic	Pattern	Clothing	Parlor	Khajiit	Homestead	
Khajiit Stool, Crescent		Fine	Pattern	Clothing	Workshop	Khajiit	Homestead	
Khajiit Table, Formal		Superior	Blueprint	Woodworking	Dining	Khajiit	Homestead	
Khajiit Table, Round		Epic	Blueprint	Woodworking	Parlor	Khajiit	Homestead	
Khajiit Tent, Mercantile		Superior	Blueprint	Woodworking	Structures	Khajiit	Homestead	
Khajiit Tent, Storage		Superior	Blueprint	Woodworking	Structures	Khajiit	Homestead	
Khajiit Tent, Vacation		Epic	Blueprint	Woodworking	Structures	Khajiit	Homestead	
Khajiit Trunk, Arched		Superior	Blueprint	Woodworking	Suite	Khajiit	Homestead	
Khajiit Urn, Amber		Epic	Design	Provisioning 	Undercroft	Khajiit	Homestead	
Khajiit Vase, Amber		Fine	Design	Provisioning	Parlor	Khajiit	Homestead	
Khajiit Vessel, Amber		Epic	Design	Provisioning	Parlor	Khajiit	Homestead	
Khajiit Vial, Amber		Epic	Design	Provisioning	Hearth	Khajiit	Homestead	
Khajiit Wagon, Reed		Superior	Blueprint	Woodworking	Courtyard	Khajiit	Homestead	
Khajiit Wardrobe, Arched		Epic	Blueprint	Woodworking	Suite	Khajiit	Homestead	
Lantern, Hanging		Superior	Diagram	Blacksmithing	Lighting	Miscellaneous	Homestead	
Lantern, Stationary		Superior	Diagram	Blacksmithing	Lighting	Miscellaneous	Homestead	
Lettuce, Display		Fine	Design	Provisioning	Hearth	Plain Food	Homestead	
Leyawiin Alcove, Castle		Superior	Praxis	Enchanting	Structures	Leyawiin	Waking Flame	Drops From Leyawiin Dailies
Leyawiin Amphora, Elegant		Epic	Praxis	Enchanting	Hearth	Leyawiin	Blackwood	
Leyawiin Archway, Garden		Superior	Praxis	Enchanting	Structures	Leyawiin	Waking Flame	Drops From Leyawiin Dailies
Leyawiin Armchair, Backless		Superior	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Armchair, Cushioned		Epic	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Armoire, Formal		Epic	Blueprint	Woodworking	Suite	Leyawiin	Blackwood	
Leyawiin Banner, Abstract		Fine	Pattern	Clothing	Parlor	Leyawiin	Blackwood	
Leyawiin Basket, Hamper Tall		Superior	Pattern	Clothing	Hearth	Leyawiin	Blackwood	
Leyawiin Basket, Hamper Wide		Superior	Pattern	Clothing	Hearth	Leyawiin	Blackwood	
Leyawiin Basket, Open		Fine	Pattern	Clothing	Hearth	Leyawiin	Blackwood	
Leyawiin Bed, Formal Double		Epic	Pattern	Clothing	Suite	Leyawiin	Blackwood	
Leyawiin Bed, Formal Single		Epic	Pattern	Clothing	Suite	Leyawiin	Blackwood	
Leyawiin Bed, Sturdy Single		Superior	Pattern	Clothing	Suite	Leyawiin	Blackwood	
Leyawiin Bench, Cushioned		Epic	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Bench, Cushioned Wide		Epic	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Bench, Formal Wide		Superior	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Bench, Sturdy		Fine	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Bookcase, Grand Filled		Epic	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bookcase, Narrow		Superior	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bookcase, Narrow Filled		Epic	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bookcase, Short		Superior	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bookcase, Tall		Superior	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bookcase, Tall Filled		Epic	Blueprint	Woodworking	Library	Leyawiin	Blackwood	
Leyawiin Bowl, Lobster Stew		Superior	Design	Provisioning	Hearth	Leyawiin	Blackwood	
Leyawiin Bowl, Squid Special		Legendary	Design	Provisioning	Hearth	Leyawiin	Waking Flame	Master Writ Furnishing
Leyawiin Brazier, Copper		Epic	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Brazier, Iron		Superior	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Brazier, Short Iron Serpent		Superior	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Brazier, Tall Copper Serpent		Epic	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Cabinet, Sturdy		Superior	Blueprint	Woodworking	Hearth	Leyawiin	Blackwood	
Leyawiin Canopy, Merchant		Fine	Pattern	Clothing	Structures	Leyawiin	Blackwood	
Leyawiin Carpet, Grand Carmine Octad		Epic	Pattern	Clothing	Parlor	Leyawiin	Blackwood	
Leyawiin Carpet, Large Carmine Octad		Superior	Pattern	Clothing	Parlor	Leyawiin	Blackwood	
Leyawiin Carpet, Large Misty Octad		Superior	Pattern	Clothing	Parlor	Leyawiin	Blackwood	
Leyawiin Carpet, Misty Octad		Fine	Pattern	Clothing	Parlor	Leyawiin	Blackwood	
Leyawiin Censer, Iron Stand		Epic	Diagram	Blacksmithing	Undercroft	Leyawiin	Blackwood	
Leyawiin Censer, Serpents		Epic	Diagram	Blacksmithing	Undercroft	Leyawiin	Blackwood	
Leyawiin Chair, Slatted		Fine	Blueprint	Woodworking	Dining	Leyawiin	Blackwood	
Leyawiin Chandelier, Brass		Epic	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Chandelier, Grand Brass		Epic	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Chandelier, Twin Lanterns		Superior	Diagram	Blacksmithing	Lighting	Leyawiin	Blackwood	
Leyawiin Clothesline, Pulleys		Superior	Pattern	Clothing	Hearth	Leyawiin	Blackwood	
