Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Khajiit Cushion, Long	superior	Suite	6.0	6.0					9.0		Homestead	21.0
Khajiit Cushion, Single	superior	Suite	7.0			7.0			11.0		Homestead	25.0
Khajiit Decanter, Amber	superior	Hearth	4.0	6.0		5.0					Homestead	15.0
Khajiit Desk, Faded	fine	Library	4.0				7.0	3.0			Homestead	14.0
Khajiit Divider, Folding	epic	Suite					9.0	8.0	13.0		Homestead	30.0
Khajiit Drapes, Grand	epic	Parlor					9.0	8.0	13.0		Homestead	30.0
Khajiit Drapes, Tattered	fine	Parlor					4.0	3.0	7.0		Homestead	14.0
Khajiit Dresser, Faded	fine	Library					7.0				Homestead	7.0
Khajiit End Table, Faded	fine	Parlor					5.0				Homestead	5.0
Khajiit Firepit, Brick	fine	Lighting				6.0					Homestead	6.0
Khajiit Flask, Amber	fine	Hearth		4.0							Homestead	4.0
Khajiit Footlocker, Arched	epic	Suite				8.0	9.0	13.0			Homestead	30.0
Khajiit Frame, Arched	fine	Courtyard					6.0				Homestead	6.0
Khajiit Jug, Amber	superior	Hearth	5.0	6.0		4.0					Homestead	15.0
Khajiit Lantern, Hanging	superior	Lighting	5.0			5.0		7.0			Homestead	17.0
Khajiit Loft, Reed	fine	Structures					4.0		7.0		Homestead	11.0
Khajiit Nightstand, Gilded	superior	Suite	5.0				8.0	6.0			Homestead	19.0
Khajiit Pillow, Crescents	epic	Suite	8.0			8.0			12.0		Homestead	28.0
Khajiit Pillow, Roll	epic	Suite	8.0			8.0			12.0		Homestead	28.0
Khajiit Pitcher, Amber	superior	Hearth	4.0	6.0		5.0					Homestead	15.0
Khajiit Rug, Moons	epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Khajiit Rug, Sun	epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Khajiit Sconce, Spiked	epic	Lighting		8.0		8.0		12.0			Homestead	28.0
Khajiit Sigil, Moon Cycle	legendary	Undercroft	13.0	9.0	9.0	15.0					Harrowstorm	46.0
Khajiit Signpost, Fortified	fine	Courtyard					6.0	3.0			Homestead	9.0
Khajiit Skooma Bubbler	epic	Parlor		9.0		6.0		7.0			Homestead	22.0
Khajiit Sofa, Padded	epic	Parlor					10.0	8.0	14.0		Homestead	32.0
Khajiit Stool, Crescent	fine	Workshop							5.0		Homestead	5.0
Khajiit Table, Formal	superior	Dining					9.0				Homestead	9.0
Khajiit Table, Round	epic	Parlor				7.0	11.0	8.0			Homestead	26.0
Khajiit Tent, Mercantile	superior	Structures					11.0		7.0		Homestead	18.0
Khajiit Tent, Storage	superior	Structures					12.0	7.0	8.0		Homestead	27.0
Khajiit Tent, Vacation	epic	Structures					14.0	9.0	9.0		Homestead	32.0
Khajiit Trunk, Arched	superior	Suite	6.0				10.0	7.0			Homestead	23.0
Khajiit Urn, Amber	epic	Undercroft		8.0		6.0		6.0			Homestead	20.0
Khajiit Vase, Amber	fine	Hearth		4.0							Homestead	4.0
Khajiit Vessel, Amber	epic	Parlor		8.0		6.0		6.0			Homestead	20.0
Khajiit Vial, Amber	epic	Hearth		8.0		6.0		6.0			Homestead	20.0
Khajiit Wagon, Reed	superior	Courtyard					13.0	8.0	8.0		Homestead	29.0
Khajiit Wardrobe, Arched	epic	Suite				8.0	12.0		8.0		Homestead	28.0
Lantern, Hanging	superior	Lighting	6.0			5.0		9.0			Homestead	20.0
Lantern, Stationary	superior	Lighting	6.0			5.0		9.0			Homestead	20.0
Lettuce, Display	fine	Hearth		3.0							Homestead	3.0
Leyawiin Alcove, Castle	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Amphora, Elegant	epic	Hearth	7.0			13.0		10.0			Blackwood	30.0
Leyawiin Archway, Garden	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Armchair, Backless	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Armchair, Cushioned	epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Banner, Abstract	fine	Parlor	4.0						5.0		Blackwood	9.0
Leyawiin Basket, Hamper Tall	superior	Hearth					6.0		9.0		Blackwood	15.0
Leyawiin Basket, Hamper Wide	superior	Hearth					6.0		9.0		Blackwood	15.0
Leyawiin Basket, Open	fine	Hearth							5.0		Blackwood	5.0
Leyawiin Bed, Formal Double	epic	Suite	7.0				10.0		13.0		Blackwood	30.0
Leyawiin Bed, Formal Single	epic	Suite	7.0				10.0		13.0		Blackwood	30.0
Leyawiin Bed, Sturdy Single	superior	Suite					6.0		9.0		Blackwood	15.0
Leyawiin Bench, Cushioned	epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Bench, Cushioned Wide	epic	Dining	7.0				13.0		10.0		Blackwood	30.0
Leyawiin Bench, Formal Wide	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Bench, Sturdy	fine	Dining	4.0				5.0				Blackwood	9.0
Leyawiin Bookcase, Grand Filled	epic	Library			6.0		13.0			10.0	Blackwood	29.0
Leyawiin Bookcase, Narrow	superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Narrow Filled	epic	Library	9.0				13.0			7.0	Blackwood	29.0
Leyawiin Bookcase, Short	superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Tall	superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Bookcase, Tall Filled	epic	Library	9.0				13.0			7.0	Blackwood	29.0
Leyawiin Bowl, Lobster Stew	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Bowl, Squid Special	legendary	Hearth	13.0	11.0	8.0						Waking Flame	32.0
Leyawiin Brazier, Copper	epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Brazier, Iron	superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Brazier, Short Iron Serpent	superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Brazier, Tall Copper Serpent	epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Wardrobe, Formal	epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cabinet, Sturdy	superior	Hearth					9.0	6.0			Blackwood	15.0
Leyawiin Canopy, Merchant	fine	Structures							5.0		Blackwood	5.0
Leyawiin Carpet, Grand Carmine Octad	epic	Parlor	9.0			7.0			13.0		Blackwood	29.0
Leyawiin Carpet, Large Carmine Octad	superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Carpet, Large Misty Octad	superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Carpet, Misty Octad	fine	Parlor	4.0						5.0		Blackwood	9.0
Leyawiin Censer, Iron Stand	epic	Undercroft			6.0		10.0	13.0			Blackwood	29.0
Leyawiin Censer, Serpents	epic	Undercroft			6.0		10.0	13.0			Blackwood	29.0
Leyawiin Chair, Slatted	fine	Dining					5.0				Blackwood	5.0
Leyawiin Chandelier, Brass	epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Chandelier, Grand Brass	epic	Lighting				10.0	7.0	13.0			Blackwood	30.0
Leyawiin Chandelier, Twin Lanterns	superior	Lighting				5.0	5.0	10.0			Blackwood	20.0
Leyawiin Clothesline, Pulleys	superior	Hearth						6.0	9.0		Blackwood	15.0
Leyawiin Column, Castle	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Corncobs, Triple	fine	Hearth		4.0							Blackwood	4.0
Leyawiin Counter, Corner	superior	Dining					9.0	6.0			Blackwood	15.0
Leyawiin Counter, Long	superior	Dining					9.0	6.0			Blackwood	15.0
Leyawiin Counter, Wide Merchant	epic	Dining				7.0	13.0	10.0			Blackwood	30.0
Leyawiin Cupboard, Formal	epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cupboard, Formal Display	epic	Hearth	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Cupboard, Sturdy	superior	Hearth					9.0	6.0			Blackwood	15.0
Leyawiin Desk, Formal	epic	Library	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Divider, Carved Starfish	legendary	Suite		9.0	10.0		15.0	13.0			Waking Flame	47.0
Leyawiin Divider, Octopus	epic	Suite	7.0		7.0		13.0				Blackwood	27.0
Leyawiin Divider, Sturdy	fine	Suite					5.0				Blackwood	5.0
Leyawiin Door, Castle	epic	Structures			6.0		13.0	10.0			Waking Flame	29.0
Leyawiin Door, Wooden	superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Doorway, Wooden Frame	superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin End Table, Formal Round	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Firepit, Stone	superior	Lighting				9.0	6.0				Blackwood	15.0
Leyawiin Gate, Wooden Garden	superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Gravy Boat, Silver	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Hand Mirror, Lacquered	superior	Suite			6.0			6.0			Blackwood	12.0
Leyawiin Hand Mirror, Silver	epic	Suite	7.0		9.0			10.0			Blackwood	26.0
Leyawiin Hearth, Carved Wood	legendary	Structures		10.0		15.0	10.0	10.0			Waking Flame	45.0
Leyawiin Hearth, Masonry	epic	Structures			6.0	13.0		10.0			Waking Flame	29.0
Leyawiin Jewelry Box, Gilded	epic	Parlor			9.0	10.0	7.0				Blackwood	26.0
Leyawiin Jewelry Box, Iron Octopus	epic	Parlor			9.0	10.0		7.0			Blackwood	26.0
Leyawiin Kylix, Silver	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Lamp, Oil	epic	Lighting			6.0	10.0		13.0			Blackwood	29.0
Leyawiin Lamp, Oil Double	epic	Lighting			6.0	10.0		13.0			Blackwood	29.0
Leyawiin Lamp, Stationary	superior	Lighting				6.0		9.0			Blackwood	15.0
Leyawiin Lamppost, Floral Gilded	epic	Lighting				7.0	10.0	13.0			Blackwood	30.0
Leyawiin Lantern, Stationary	fine	Lighting						5.0			Blackwood	5.0
Leyawiin Laundry, Stack	superior	Hearth	6.0						9.0		Blackwood	15.0
Leyawiin Lettuce, Leaf	fine	Hearth		4.0							Blackwood	4.0
Leyawiin Lightpost, Ornate	legendary	Lighting			15.0	13.0	11.0	10.0			Waking Flame	49.0
Leyawiin Meal, Clams	superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Meal, Lobster	superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Meal, Octopus	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Meal, Squid	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Meal, Vegetables	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Merchant Stall, Portable	epic	Courtyard				7.0	13.0	10.0			Blackwood	30.0
Leyawiin Mug, Milk	superior	Hearth		7.0				6.0			Blackwood	13.0
Leyawiin Nightstand, Formal	superior	Suite	6.0				9.0				Blackwood	15.0
Leyawiin Nightstand, Sturdy	fine	Suite					5.0				Blackwood	5.0
Leyawiin Ox Cart, Sturdy	superior	Courtyard					9.0	6.0			Blackwood	15.0
Leyawiin Pie, Octopus	epic	Hearth	7.0	10.0				10.0			Blackwood	27.0
Leyawiin Pitcher, Cracked	fine	Hearth				5.0					Blackwood	5.0
Leyawiin Pitcher, Elegant	epic	Hearth	7.0			13.0		10.0			Blackwood	30.0
Leyawiin Plate, Set	fine	Hearth					5.0				Blackwood	5.0
Leyawiin Plate, Utensils	fine	Hearth					5.0				Blackwood	5.0
Leyawiin Plates, Stack	superior	Hearth	6.0				9.0				Blackwood	15.0
Leyawiin Platform, Huge Square	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Large Square	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Narrow Steps	superior	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Platform, Wide Steps	fine	Structures				5.0					Waking Flame	5.0
Leyawiin Platter, Seafood	superior	Hearth		7.0			6.0				Blackwood	13.0
Leyawiin Post, Stone Garden	fine	Structures				5.0					Waking Flame	5.0
Leyawiin Pot, Domed	fine	Hearth				5.0					Blackwood	5.0
Leyawiin Pot, Waves	superior	Hearth	6.0			9.0					Blackwood	15.0
Leyawiin Pot, Wide	fine	Hearth				5.0					Blackwood	5.0
Leyawiin Potted Plant, Aspen Sapling	superior	Conservatory	6.0			9.0					Blackwood	15.0
Leyawiin Rug, Carmine Octad	superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Sconce, Gilded Lantern	epic	Lighting				7.0	10.0	13.0			Blackwood	30.0
Leyawiin Sconce, Lantern	superior	Lighting					9.0	6.0			Blackwood	15.0
Leyawiin Serving Pot, Lobster Stew	epic	Hearth	7.0	10.0				10.0			Blackwood	27.0
Leyawiin Stairway, Wooden	superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Streetlight, Carved Waves	superior	Lighting	6.0				9.0				Blackwood	15.0
Leyawiin Table, Formal	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Formal Grand	epic	Dining	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Table, Formal Square Low	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Sturdy Grand	superior	Dining	6.0				9.0				Blackwood	15.0
Leyawiin Table, Sturdy Round	fine	Dining					5.0				Blackwood	5.0
Leyawiin Table, Sturdy Square	fine	Dining					5.0				Blackwood	5.0
Leyawiin Tapestry, Fleet	epic	Parlor	9.0				7.0		13.0		Blackwood	29.0
Leyawiin Tapestry, Floral	epic	Parlor	9.0				7.0		13.0		Blackwood	29.0
Leyawiin Tapestry, Hunting Party	legendary	Parlor		10.0			15.0		15.0		Waking Flame	40.0
Leyawiin Tapestry, Lone Vessel	superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Tapestry, Twin Vessels	superior	Parlor	6.0						9.0		Blackwood	15.0
Leyawiin Teacup, Full	fine	Hearth		4.0							Blackwood	4.0
Leyawiin Tomatoes, Vine	fine	Hearth		4.0							Blackwood	4.0
Leyawiin Trunk, Carved Octad	superior	Suite	6.0				9.0				Blackwood	15.0
Leyawiin Trunk, Floral Gilded	epic	Suite	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Trunk, Ornate	epic	Suite	9.0		6.0		13.0				Blackwood	28.0
Leyawiin Turret, Castle	epic	Structures				7.0	13.0	10.0			Waking Flame	30.0
Leyawiin Vase, Table	fine	Hearth				5.0					Blackwood	5.0
Leyawiin Wagon, Covered	epic	Courtyard					13.0	10.0	7.0		Blackwood	30.0
Leyawiin Wall Mirror, Lacquered Frame	superior	Suite					6.0	9.0			Blackwood	15.0
Leyawiin Wall Mirror, Silver	epic	Suite			7.0		7.0	13.0			Blackwood	27.0
Leyawiin Wall Shelf, Carved	superior	Library	6.0				9.0				Blackwood	15.0
Leyawiin Wall, Castle Door Arch	epic	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Wall, Curved Garden	fine	Structures				5.0					Waking Flame	5.0
Leyawiin Wall, Straight Garden	fine	Structures				5.0					Waking Flame	5.0
Leyawiin Wall, Wainscoted	epic	Structures		6.0			13.0	10.0			Waking Flame	29.0
Leyawiin Wall, Windowed Castle	epic	Structures				9.0		6.0			Waking Flame	15.0
Leyawiin Wall, Wooden Half	superior	Structures					9.0	6.0			Waking Flame	15.0
Leyawiin Well, Covered	epic	Courtyard				13.0	10.0	7.0			Blackwood	30.0
Mages Apparatus, Master	legendary	Workshop	13.0	11.0				15.0			Morrowind / Clockwork	39.0
Mammoth Cheese, Mastercrafted	legendary	Hearth	11.0	11.0			11.0			13.0	Morrowind / Clockwork	46.0
Markarth Archway, Stone	superior	Courtyard				9.0		6.0			Flames of Ambition	15.0
Markarth Door, Double	epic	Structures			7.0	7.0		13.0			Flames of Ambition	27.0
Markarth Fireplace, Stone	epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Floor, Circular	superior	Structures			5.0	9.0					Flames of Ambition	14.0
Markarth Floor, Large Oval	epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Large Rectangle	epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Large Square	epic	Structures			7.0	13.0		7.0			Flames of Ambition	27.0
Markarth Floor, Square	superior	Structures			5.0	9.0					Flames of Ambition	14.0
Markarth Pillar, Stone	superior	Courtyard				9.0		6.0			Flames of Ambition	15.0
Markarth Platform, Bordered Square	epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Platform, Circular	fine	Structures				5.0					Flames of Ambition	5.0
Markarth Platform, Square	superior	Structures				9.0		6.0			Flames of Ambition	15.0
Markarth Post, Stone Wall	fine	Courtyard				5.0					Flames of Ambition	5.0
Markarth Stairway, Narrow Stone	fine	Structures				5.0					Flames of Ambition	5.0
Markarth Stairway, Wide Stone	superior	Structures				9.0		6.0			Flames of Ambition	15.0
Markarth Tower, Stone	epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Walkway, Metal Trim	epic	Structures			6.0	13.0		10.0			Flames of Ambition	29.0
Markarth Walkway, Stone	fine	Structures				5.0					Flames of Ambition	5.0
Markarth Wall, Wide Stone	fine	Structures				5.0					Flames of Ambition	5.0
Markarth Wall, Windowed Stone	superior	Structures				9.0		6.0			Flames of Ambition	15.0
Melon, Wax	fine	Hearth		4.0							Murkmire	4.0
Miniature Garden, Bottled	legendary	Hearth		11.0		15.0		13.0			Dragon Bones	39.0
Mortar and Pestle	legendary	Hearth		11.0		15.0		13.0			Homestead	39.0
Murkmire Bed, Carved	superior	Suite					9.0		6.0		Murkmire	15.0
Murkmire Bed, Enclosed	superior	Suite	6.0			9.0					Murkmire	15.0
Murkmire Bench, Armless	fine	Dining				5.0					Murkmire	5.0
Murkmire Bench, Wide	superior	Dining	6.0			8.0					Murkmire	14.0
Murkmire Berry Strand	fine	Hearth		4.0							Murkmire	4.0
Murkmire Bonding Chimes, Domed	epic	Courtyard	9.0	6.0			12.0				Murkmire	27.0
Murkmire Bonding Chimes, Simple	superior	Courtyard	5.0	5.0			10.0				Murkmire	20.0
Murkmire Bookshelf	superior	Library	5.0			9.0	5.0				Murkmire	19.0
Murkmire Bookshelf, Full	superior	Library	5.0			10.0			5.0		Murkmire	20.0
Murkmire Bookshelf, Grand	epic	Library	8.0			12.0	7.0				Murkmire	27.0
Murkmire Bookshelf, Grand Full	epic	Library	9.0			13.0			7.0		Murkmire	29.0
Murkmire Brazier, Bowl	superior	Lighting	6.0					9.0			Murkmire	15.0
Murkmire Brazier, Engraved	superior	Lighting	6.0			8.0					Murkmire	14.0
Murkmire Brazier, Shell	fine	Lighting	5.0	4.0							Murkmire	9.0
Murkmire Candle, Bone Squat	fine	Lighting		4.0			4.0				Murkmire	8.0
Murkmire Candle, Bone Tall	fine	Lighting		4.0			4.0				Murkmire	8.0
Murkmire Candlepost, Driftwood	epic	Lighting		10.0	6.0		9.0				Murkmire	25.0
Murkmire Candlepost, Timber	superior	Lighting		7.0			6.0				Murkmire	13.0
Murkmire Candles, Bone Group	superior	Lighting		7.0			6.0				Murkmire	13.0
Murkmire Chair, Engraved	fine	Dining	4.0			5.0					Murkmire	9.0
Murkmire Chair, Woven	superior	Dining					9.0		6.0		Murkmire	15.0
Murkmire Counter, Cabinet	superior	Dining					9.0		6.0		Murkmire	15.0
Murkmire Counter, Low Cabinet	fine	Dining					5.0				Murkmire	5.0
Murkmire Desk, Engraved	fine	Library	4.0			5.0					Murkmire	9.0
Murkmire Gate, Arched	epic	Structures		6.0		10.0	13.0				Murkmire	29.0
Murkmire Hearth Shrine, Sithis Coiled	superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Hearth Shrine, Sithis Looming	superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Hearth Shrine, Sithis Rearing	superior	Undercroft			5.0	9.0					Murkmire	14.0
Murkmire Lamp, Hanging Bottle	superior	Lighting	8.0	5.0							Murkmire	13.0
Murkmire Lamp, Hanging Conch	superior	Lighting	9.0	5.0	4.0						Murkmire	18.0
Murkmire Candle, Standing Shell	superior	Lighting	8.0	5.0							Murkmire	13.0
Murkmire Lantern, Covered	superior	Lighting	9.0	5.0			5.0				Murkmire	19.0
Murkmire Pedestal, Low	fine	Undercroft				5.0					Murkmire	5.0
Murkmire Pedestal, Winged	superior	Undercroft	6.0			9.0					Murkmire	15.0
Murkmire Plate, Charger	fine	Hearth					5.0				Murkmire	5.0
Murkmire Platform, Reed	epic	Structures	7.0				12.0		9.0		Murkmire	28.0
Murkmire Platform, Sectioned	superior	Structures	6.0			9.0					Murkmire	15.0
Murkmire Pot, Handmade	fine	Hearth		4.0							Murkmire	4.0
Murkmire Pot, Large Carved	superior	Hearth		7.0		6.0					Murkmire	13.0
Murkmire Ramp, Marshwood	superior	Structures					9.0		6.0		Murkmire	15.0
Murkmire Ramp, Reed	superior	Structures					9.0		6.0		Murkmire	15.0
Murkmire Rug, Crawling Serpents	fine	Parlor							5.0		Murkmire	5.0
Murkmire Rug, Hist Gathering	superior	Parlor	6.0						9.0		Murkmire	15.0
Murkmire Rug, Lurking Lizard	fine	Parlor							5.0		Murkmire	5.0
Murkmire Rug, Supine Turtle	superior	Parlor		5.0					9.0		Murkmire	14.0
Murkmire Sarcophagus, Empty	epic	Undercroft	9.0		6.0	13.0					Murkmire	28.0
Murkmire Sarcophagus, Lid	epic	Undercroft	9.0		6.0	13.0					Murkmire	28.0
Murkmire Sconce, Shell	superior	Lighting	9.0	5.0	4.0						Murkmire	18.0
Murkmire Shelf, Reed	fine	Library					5.0				Murkmire	5.0
Murkmire Shelf, Woven Hanging	epic	Library	7.0				13.0		10.0		Murkmire	30.0
Murkmire Shelves, Woven	superior	Library					9.0		6.0		Murkmire	15.0
Murkmire Shrine, Sithis Coiled	epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Figure	epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Rearing	epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Shrine, Sithis Relief	epic	Undercroft		6.0	7.0	13.0					Murkmire	26.0
Murkmire Table, Engraved	superior	Dining	6.0			9.0					Murkmire	15.0
Murkmire Table, Woven	superior	Dining	5.0				10.0		5.0		Murkmire	20.0
Murkmire Tapestry, Hist Gathering	superior	Parlor	6.0						9.0		Murkmire	15.0
Murkmire Tapestry, Xanmeer	fine	Parlor		4.0					5.0		Murkmire	9.0
Murkmire Totem Post, Carved	superior	Courtyard		5.0		5.0	10.0				Murkmire	20.0
Murkmire Totem, Beacon	epic	Structures	9.0		6.0	13.0					Murkmire	28.0
Murkmire Totem, Wolf-Lizard	superior	Courtyard		5.0		5.0	10.0				Murkmire	20.0
Murkmire Trunk, Leatherbound	epic	Suite					12.0	7.0		9.0	Murkmire	28.0
Murkmire Walkway, Reed	fine	Structures					5.0		4.0		Murkmire	9.0
Murkmire Wall, Corner Curve	superior	Structures		5.0		5.0	10.0				Murkmire	20.0
Murkmire Wall, Stone	superior	Structures		5.0		9.0					Murkmire	14.0
Murkmire Wall, Straight	superior	Structures		5.0		5.0	10.0				Murkmire	20.0
Murkmire Wardrobe, Woven	superior	Suite					9.0		6.0		Murkmire	15.0
Noble Standing Cauldron	epic	Hearth	8.0	10.0				8.0			Homestead	26.0
Nord Amphora, Glazed	superior	Hearth		7.0		5.0	5.0				Homestead	17.0
Nord Armoire, Lattice	superior	Suite				5.0	9.0	5.0			Homestead	19.0
Nord Banner, Knotwork	epic	Parlor	8.0			8.0			12.0		Homestead	28.0
Nord Bed, Canopy	epic	Suite				7.0	13.0		10.0		Homestead	30.0
Nord Bed, Single	fine	Suite					7.0		4.0		Homestead	11.0
Nord Bed, Sleigh	superior	Suite					9.0	6.0	6.0		Homestead	21.0
Nord Bench, Braced	fine	Dining					5.0				Homestead	5.0
Nord Bench, Plank	superior	Dining	5.0				8.0				Homestead	13.0
Nord Bookcase, Alcove	epic	Library				8.0	10.0	6.0			Homestead	24.0
Nord Bookshelf, Alcove	superior	Library	5.0			6.0	10.0				Homestead	21.0
Nord Brazier, Hanging	epic	Lighting	8.0			8.0		12.0			Homestead	28.0
Nord Candle, Antler	epic	Lighting		6.0		6.0		10.0			Homestead	22.0
Nord Candle, Tealight	fine	Lighting		4.0		4.0		7.0			Homestead	15.0
Nord Candleholder, Cup	fine	Lighting		4.0		4.0		7.0			Homestead	15.0
Nord Cart, Cargo	superior	Courtyard					9.0	6.0			Homestead	15.0
Nord Cart, Covered	epic	Courtyard					11.0	7.0	8.0		Homestead	26.0
Nord Cart, Hay	fine	Courtyard		3.0			6.0				Homestead	9.0
Nord Cauldron, Glazed	superior	Hearth		7.0		5.0		5.0			Homestead	17.0
Nord Chair, Braced	superior	Dining					8.0				Homestead	8.0
Nord Chair, Lattice	epic	Dining	8.0			7.0	11.0				Homestead	26.0
Nord Chandelier, Antler	epic	Lighting		6.0		10.0		12.0			Homestead	28.0
Nord Chest, Latched	epic	Suite				9.0	8.0	13.0			Homestead	30.0
Nord Counter, Cabinet	epic	Dining	7.0				10.0	7.0			Homestead	24.0
Nord Counter, Corner	epic	Dining	7.0				10.0	7.0			Homestead	24.0
Nord Counter, Long	superior	Dining	5.0	5.0			8.0				Homestead	18.0
Nord Crockpot, Carrot Soup	superior	Hearth		7.0			5.0	5.0			Homestead	17.0
Nord Crockpot, Covered	superior	Hearth		6.0			6.0	9.0			Homestead	21.0
Nord Desk, Tied	epic	Library	8.0			8.0	12.0				Homestead	28.0
Nord Divider, Folding	epic	Suite	8.0				11.0	7.0			Homestead	26.0
Nord Dresser, Braced	superior	Suite	5.0				8.0	6.0			Homestead	19.0
Nord Dresser, Rough	fine	Suite					6.0	3.0			Homestead	9.0
Nord Drinking Horn, Empty	superior	Hearth					9.0	6.0			Homestead	15.0
Nord Footlocker, Braced	superior	Suite	6.0				9.0	5.0			Homestead	20.0
Nord Hutch, Rough	fine	Hearth					5.0	3.0			Homestead	8.0
Nord Lamppost, Stone	epic	Lighting	6.0				9.0	11.0			Homestead	26.0
Nord Lantern, Cage	fine	Lighting		3.0				6.0			Homestead	9.0
Nord Lantern, Hanging	superior	Lighting		5.0		6.0		10.0			Homestead	21.0
Nord Nightstand, Braced	epic	Suite		7.0			11.0	8.0			Homestead	26.0
Nord Nightstand, Rough	fine	Suite					6.0				Homestead	6.0
Nord Pot, Ceramic	fine	Hearth		5.0							Homestead	5.0
Nord Pot, Covered	fine	Hearth		4.0				7.0			Homestead	11.0
Nord Pot, Empty	superior	Hearth		7.0		6.0					Homestead	13.0
Nord Pot, Stew	fine	Hearth		6.0				5.0			Homestead	11.0
Nord Rack, Wine	superior	Hearth	7.0	6.0			10.0				Homestead	23.0
Nord Rug, Bearskin	epic	Parlor	7.0	9.0						12.0	Homestead	28.0
Nord Shelf, Braced	fine	Library					5.0				Homestead	5.0
Nord Shelf, Wall	fine	Library					5.0				Homestead	5.0
Nord Stool, Braced	superior	Workshop		5.0			7.0				Homestead	12.0
Nord Stool, Rough	fine	Workshop					4.0				Homestead	4.0
Nord Streetlamps, Stone	epic	Lighting	6.0				9.0	12.0			Homestead	27.0
Nord Table, Braced	superior	Dining	5.0				7.0				Homestead	12.0
Nord Table, Dining	superior	Dining					8.0		5.0		Homestead	13.0
Nord Table, Formal	epic	Dining		7.0		8.0	11.0				Homestead	26.0
Nord Table, Game	epic	Parlor	8.0	7.0			11.0				Homestead	26.0
Nord Table, Great	epic	Dining	7.0	7.0			10.0				Homestead	24.0
Nord Table, Kitchen	fine	Dining					5.0				Homestead	5.0
Nord Table, Round	superior	Parlor		5.0			8.0		5.0		Homestead	18.0
Nord Tapestry, Dragon	superior	Parlor				6.0			9.0		Homestead	15.0
